transaction_id,customer_id,product,category,quantity,price,revenue,date,region
1,4174,Yoga Mat,Sports,9,278.92,2510.28,2023-09-28,North
2,4507,Yoga Mat,Sports,6,485.2,2911.2,2023-01-06,West
3,1860,Lamp,Home & Garden,7,430.39,3012.73,2024-06-13,South
4,2294,Plant,Home & Garden,9,284.03,2556.27,2024-05-30,Central
5,2130,Self-Help,Books,8,369.41,2955.28,2024-10-16,East
6,2095,Jacket,Clothing,3,283.53,850.59,2023-08-09,East
7,4772,Jacket,Clothing,10,213.65,2136.5,2024-05-03,North
8,4092,Rug,Home & Garden,8,368.52,2948.16,2023-08-24,South
9,2638,Fiction Novel,Books,2,14.56,29.12,2024-09-04,North
10,3169,Tablet,Electronics,5,73.17,365.85,2024-10-10,South
11,1466,Bicycle,Sports,4,61.52,246.08,2024-09-09,West
12,2238,T-Shirt,Clothing,1,455.21,455.21,2023-03-12,Central
13,1330,Yoga Mat,Sports,4,,,2024-09-19,North
14,2482,Jacket,Clothing,1,440.51,440.51,2023-10-06,South
15,3135,Smartphone,Electronics,4,,,2024-03-02,Central
16,4444,Shoes,Clothing,6,324.15,1944.9,2023-10-05,North
17,4171,Tablet,Electronics,5,210.74,1053.7,2023-06-14,West
18,3919,Jeans,Clothing,6,20.03,120.18,2023-05-01,North
19,4735,Rug,Home & Garden,4,,,2023-12-21,East
20,1130,Yoga Mat,Sports,10,162.64,1626.4,2024-01-25,North
21,2685,Cookbook,Books,4,68.84,275.36,2023-02-28,South
22,4380,Biography,Books,3,151.4,454.2,2023-07-08,Central
23,1769,T-Shirt,Clothing,9,270.44,2433.96,2023-05-12,East
24,3391,Self-Help,Books,7,260.6,1824.2,2023-01-19,Central
25,2515,Dumbbell,Sports,6,491.41,2948.46,2023-03-27,South
26,4485,Lamp,Home & Garden,5,431.05,2155.25,2023-04-20,West
27,3853,Plant,Home & Garden,10,351.2,3512.0,2024-02-01,Central
28,3433,Headphones,Electronics,1,222.34,222.34,2024-07-31,North
29,2215,Self-Help,Books,8,288.21,2305.68,2024-11-29,North
30,1955,Dumbbell,Sports,6,63.96,383.76,2024-05-09,North
31,3324,Cookbook,Books,6,283.68,1702.08,2023-11-26,Central
32,2184,Yoga Mat,Sports,9,28.79,259.11,2023-02-26,West
33,1459,Tablet,Electronics,5,64.25,321.25,2023-07-18,South
34,4385,Self-Help,Books,10,36.1,361.0,2023-11-11,East
35,1021,Lamp,Home & Garden,4,440.44,1761.76,2023-01-08,North
36,3300,Tablet,Electronics,4,28.54,114.16,2024-09-24,West
37,1747,Fiction Novel,Books,9,108.14,973.26,2023-06-04,West
38,3904,Chair,Home & Garden,6,326.0,1956.0,2023-01-19,East
39,4632,Rug,Home & Garden,7,264.09,1848.63,2024-05-07,North
40,1474,Running Shoes,Sports,9,54.98,494.82,2023-10-13,South
41,2082,Plant,Home & Garden,9,66.89,602.01,2023-06-16,West
42,3558,Jeans,Clothing,4,349.69,1398.76,2024-08-19,East
43,4753,Biography,Books,8,480.64,3845.12,2024-06-07,Central
44,3047,Fiction Novel,Books,9,291.3,2621.7,2023-09-13,North
45,4547,Yoga Mat,Sports,7,318.64,2230.48,2023-10-13,West
46,3747,Lamp,Home & Garden,4,32.15,128.6,2024-01-02,West
47,1975,Running Shoes,Sports,7,252.03,1764.21,2024-05-11,South
48,2806,Jeans,Clothing,10,40.03,400.3,2023-07-11,West
49,1189,Bicycle,Sports,6,253.19,1519.14,2023-05-31,North
50,4005,Fiction Novel,Books,6,322.93,1937.58,2023-11-03,East
51,3734,Dumbbell,Sports,5,411.73,2058.65,2024-06-02,East
52,4005,Cookbook,Books,6,451.69,2710.14,2023-06-27,Central
53,1562,Smartphone,Electronics,8,238.61,1908.88,2023-03-30,North
54,2899,Jacket,Clothing,1,294.79,294.79,2024-10-09,South
55,4638,Shoes,Clothing,2,320.7,641.4,2023-08-05,Central
56,2267,Self-Help,Books,7,468.56,3279.92,2024-11-07,Central
57,3879,Headphones,Electronics,1,284.69,284.69,2024-12-18,Central
58,2528,Chair,Home & Garden,5,361.53,1807.65,2023-08-08,North
59,4202,Bicycle,Sports,5,299.92,1499.6,2024-06-25,North
60,4556,Lamp,Home & Garden,9,267.5,2407.5,2024-03-26,South
61,4890,Headphones,Electronics,8,71.22,569.76,2024-12-08,West
62,1646,Jacket,Clothing,5,365.91,1829.55,2024-09-17,Central
63,3068,Plant,Home & Garden,2,44.1,88.2,2024-01-11,Central
64,3888,Smartphone,Electronics,5,463.56,2317.8,2023-11-18,South
65,3214,Shoes,Clothing,4,418.68,1674.72,2024-04-12,West
66,2297,Lamp,Home & Garden,8,467.92,3743.36,2023-06-07,South
67,3435,T-Shirt,Clothing,5,136.58,682.9,2024-06-08,West
68,1600,Cookbook,Books,2,231.93,463.86,2024-02-28,Central
69,3363,Shoes,Clothing,2,257.02,514.04,2024-02-28,South
70,3061,Jacket,Clothing,7,459.11,3213.77,2023-11-29,West
71,1241,Tablet,Electronics,2,414.3,828.6,2023-08-09,South
72,3041,Smartphone,Electronics,8,279.34,2234.72,2023-03-24,North
73,3824,Running Shoes,Sports,9,240.84,2167.56,2023-05-21,West
74,4417,Headphones,Electronics,2,91.4,182.8,2024-05-30,Central
75,3612,Self-Help,Books,2,75.77,151.54,2023-01-12,South
76,3945,Biography,Books,3,113.65,340.95,2024-11-16,Central
77,2363,Jacket,Clothing,4,67.35,269.4,2024-04-13,East
78,3139,Smartphone,Electronics,8,240.0,1920.0,2024-02-16,Central
79,2390,Yoga Mat,Sports,10,390.41,3904.1,2024-07-07,North
80,4003,Laptop,Electronics,1,87.27,87.27,2024-08-22,North
81,2478,Dumbbell,Sports,5,351.96,1759.8,2024-02-18,Central
82,4499,T-Shirt,Clothing,5,251.15,1255.75,2024-04-23,Central
83,3556,Self-Help,Books,2,340.23,680.46,2023-12-29,Central
84,1775,Laptop,Electronics,9,331.34,2982.06,2024-02-16,East
85,1034,Tablet,Electronics,7,282.13,1974.91,2024-11-25,West
86,3253,Self-Help,Books,5,381.48,1907.4,2023-12-30,Central
87,4152,Cookbook,Books,8,345.94,2767.52,2023-09-19,West
88,2955,Lamp,Home & Garden,5,360.73,1803.65,2024-10-07,Central
89,2585,Lamp,Home & Garden,4,393.39,1573.56,2023-02-21,West
90,4943,Plant,Home & Garden,3,147.88,443.64,2023-12-19,East
91,4459,Cookbook,Books,7,456.39,3194.73,2024-01-26,North
92,4073,Lamp,Home & Garden,9,,,2024-02-11,West
93,2021,Headphones,Electronics,8,396.0,3168.0,2024-05-18,East
94,4461,Self-Help,Books,7,141.93,993.51,2023-09-28,West
95,3613,Tablet,Electronics,2,69.47,138.94,2024-03-15,East
96,2129,Fiction Novel,Books,5,267.8,1339.0,2023-08-12,East
97,4843,Shoes,Clothing,10,498.19,4981.9,2024-05-14,North
98,4893,Tablet,Electronics,9,494.03,4446.27,2023-04-09,East
99,2500,Cookbook,Books,1,137.12,137.12,2023-06-27,South
100,1702,Bicycle,Sports,1,180.27,180.27,2024-01-17,South
101,3449,Fiction Novel,Books,5,30.05,150.25,2023-05-08,East
102,3777,Shoes,Clothing,2,360.09,720.18,2024-02-25,West
103,2579,Cookbook,Books,1,411.73,411.73,2023-02-01,Central
104,1161,Jeans,Clothing,8,47.89,383.12,2024-05-08,South
105,1201,Plant,Home & Garden,6,193.61,1161.66,2023-01-01,North
106,2981,Laptop,Electronics,5,473.02,2365.1,2023-06-04,South
